,label,thresh,coordinates
195,1,0,"[90, -8, -53, -72, 0, 0, 0]"
196,1,0,"[89, -10, -53, -71, 0, 0, 0]"
197,1,0,"[91, -9, -53, -73, 0, 0, 0]"
198,1,0,"[94, -10, -55, -75, 0, 0, 0]"
199,1,0,"[94, -14, -57, -74, 0, 0, 0]"
200,1,0,"[105, -12, -64, -83, -1, 0, 0]"
201,1,0,"[123, -22, -75, -95, -6, -2, -1]"
202,1,0,"[145, -34, -65, -125, -7, 0, 0]"
203,1,0,"[188, -38, -91, -160, -14, 11, -3]"
204,1,0,"[185, -40, -83, -161, -20, 15, -6]"
205,1,0,"[161, -29, -39, -153, -7, 18, -5]"
206,1,0,"[161, -35, -46, -150, 2, 19, 0]"
207,1,0,"[139, -36, -30, -131, 0, 23, 0]"
208,1,0,"[105, -34, -9, -99, 0, 26, 0]"
209,1,0,"[82, -31, 0, -76, 0, 30, 2]"
210,1,0,"[49, -15, 3, -47, 2, 31, 4]"
211,1,0,"[23, -5, -4, -22, 1, 28, 6]"
212,1,0,"[2, 1, 0, -2, -1, 27, 8]"
213,1,0,"[21, 8, -1, 19, -2, 24, 11]"
214,1,0,"[36, 23, -8, 27, -8, 16, 18]"
215,1,0,"[35, 27, -10, 20, -11, 8, 25]"
216,1,0,"[30, 17, -25, 2, -8, 2, 26]"
217,1,0,"[34, 10, -31, -9, -7, 5, 26]"
218,1,0,"[48, 10, -42, -20, -5, 9, 24]"
219,1,0,"[56, 17, -48, -23, -1, 9, 21]"
220,1,0,"[46, 26, -38, -2, 0, 4, 21]"
221,1,0,"[77, 26, -4, 72, -6, -2, 19]"
222,1,0,"[219, 38, 44, 211, -43, -22, 27]"
223,1,0,"[265, -22, 101, 244, -39, -43, 43]"
224,1,1,"[1103, -784, -55, -774, -20, 43, 43]"
225,0,0,"[116, -36, -31, -106, 6, 17, -7]"
226,0,0,"[128, 16, -19, -126, 10, 10, -3]"
227,0,0,"[103, 27, -54, -84, 7, -7, -2]"
228,0,0,"[72, -14, -43, -56, 2, -2, 0]"
229,0,0,"[88, -18, -29, -81, 1, 2, 0]"
230,0,0,"[86, -20, -40, -73, -2, 2, 0]"
231,0,0,"[97, -13, -26, -93, 0, 3, 0]"
232,0,0,"[97, -11, -31, -91, 2, 0, 0]"
233,0,0,"[87, -18, -39, -76, 2, 0, 0]"
234,2,0,"[87, -22, -42, -73, 2, 0, 0]"
235,2,0,"[85, -15, -39, -74, 0, 2, 0]"
236,2,0,"[90, -12, -38, -81, 0, 1, 0]"
237,2,0,"[95, -14, -41, -84, 1, 0, 0]"
238,2,0,"[82, -19, -46, -65, 0, 0, 0]"
239,2,0,"[91, -17, -45, -77, 0, 0, 0]"
240,2,0,"[87, -14, -39, -77, 0, 0, 0]"
241,2,0,"[87, -16, -38, -77, 0, 0, 0]"
242,2,0,"[89, -15, -38, -79, 0, 0, 0]"
243,2,0,"[90, -17, -41, -78, 0, 0, 0]"
244,2,0,"[88, -17, -39, -77, 0, 0, 0]"
245,2,0,"[87, -14, -37, -77, 0, 0, 0]"
246,2,0,"[90, -14, -38, -80, 0, 0, 0]"
247,2,0,"[89, -16, -37, -79, 1, 1, 0]"
248,2,0,"[89, -15, -40, -78, 0, 0, 0]"
249,2,0,"[89, -16, -40, -78, 0, 0, 0]"
250,2,0,"[89, -16, -38, -79, 1, 1, 0]"
251,2,0,"[91, -16, -42, -79, 1, 2, 0]"
252,2,0,"[93, -21, -40, -81, 2, 4, 0]"
253,2,0,"[108, -21, -43, -97, 4, 8, 1]"
254,2,0,"[145, -26, -68, -125, 10, 15, -3]"
255,2,0,"[172, -9, -101, -139, 2, 25, -8]"
256,2,0,"[163, 16, -93, -133, -8, 25, -11]"
257,2,0,"[150, 17, -72, -131, 2, 24, -11]"
258,2,0,"[157, 25, -89, -127, 12, 26, -16]"
259,2,0,"[141, 32, -80, -111, 22, 24, -24]"
260,2,0,"[126, 24, -86, -89, 24, 25, -31]"
261,2,0,"[100, 29, -76, -59, 15, 25, -31]"
262,2,0,"[72, 35, -49, -40, 10, 24, -30]"
263,2,0,"[63, 38, -36, -35, 13, 19, -29]"
264,2,0,"[58, 34, -38, -27, 17, 15, -29]"
265,2,0,"[55, 36, -38, -18, 13, 13, -28]"
266,2,0,"[49, 39, -27, -12, 9, 13, -26]"
267,2,0,"[56, 51, -21, -10, 11, 10, -23]"
268,2,0,"[66, 57, -28, -18, 15, 6, -22]"
269,2,0,"[67, 56, -31, -20, 15, 6, -22]"
270,2,0,"[63, 52, -23, -27, 12, 7, -22]"
271,2,0,"[65, 59, -19, -20, 10, 6, -17]"
272,2,0,"[71, 71, -1, 1, 9, 5, -8]"
273,2,0,"[59, 59, 5, 2, 15, 0, -1]"
274,2,0,"[55, 53, -2, 16, 20, -2, 4]"
