,label,thresh,coordinates
170,0,0,"['88', '45', '-46', '-60', '-3', '1', '9']"
171,0,0,"['85', '42', '-47', '-57', '-7', '-1', '8']"
172,0,0,"['81', '32', '-44', '-60', '-13', '-3', '9']"
173,0,0,"['81', '33', '-37', '-64', '-12', '-4', '11']"
174,0,0,"['84', '35', '-32', '-69', '-6', '-4', '12']"
175,0,0,"['90', '32', '-41', '-74', '-3', '-4', '11']"
176,0,0,"['89', '27', '-45', '-72', '-3', '-3', '10']"
177,0,0,"['86', '20', '-49', '-68', '-3', '-4', '9']"
178,0,0,"['86', '21', '-46', '-70', '4', '-6', '11']"
179,0,0,"['114', '14', '-75', '-85', '9', '-7', '6']"
180,0,0,"['99', '8', '-64', '-75', '0', '-2', '1']"
181,0,0,"['96', '13', '-55', '-77', '-3', '2', '-1']"
182,0,0,"['97', '31', '-36', '-85', '-4', '4', '-1']"
183,0,0,"['85', '33', '-29', '-73', '0', '4', '0']"
184,0,0,"['88', '35', '-40', '-70', '0', '1', '0']"
185,0,0,"['90', '29', '-43', '-74', '0', '0', '0']"
186,0,0,"['95', '29', '-48', '-77', '0', '0', '0']"
187,0,0,"['90', '29', '-46', '-72', '0', '0', '0']"
188,0,0,"['92', '32', '-45', '-74', '0', '0', '0']"
189,0,0,"['91', '29', '-45', '-74', '0', '0', '0']"
190,0,0,"['92', '30', '-47', '-73', '0', '1', '0']"
191,0,0,"['90', '30', '-45', '-72', '0', '0', '0']"
192,0,0,"['92', '32', '-45', '-74', '0', '0', '0']"
193,0,0,"['91', '30', '-46', '-73', '0', '0', '0']"
194,0,0,"['91', '30', '-45', '-73', '0', '0', '0']"
195,0,0,"['90', '30', '-45', '-72', '0', '0', '0']"
196,0,0,"['91', '30', '-45', '-73', '0', '0', '0']"
197,0,0,"['92', '31', '-45', '-74', '0', '0', '0']"
198,0,0,"['91', '30', '-46', '-73', '0', '0', '0']"
199,0,0,"['92', '30', '-47', '-73', '0', '0', '0']"
200,0,0,"['91', '30', '-47', '-72', '0', '0', '0']"
201,0,0,"['92', '31', '-45', '-74', '0', '0', '0']"
202,0,0,"['92', '31', '-46', '-74', '0', '0', '0']"
203,0,0,"['91', '29', '-44', '-74', '0', '0', '-1']"
204,0,0,"['91', '27', '-47', '-73', '0', '0', '-1']"
205,0,0,"['90', '32', '-45', '-71', '0', '0', '0']"
206,0,0,"['90', '35', '-42', '-72', '0', '0', '0']"
207,0,0,"['93', '33', '-45', '-74', '0', '0', '0']"
208,0,0,"['90', '28', '-47', '-72', '0', '0', '0']"
209,0,0,"['96', '32', '-48', '-77', '0', '0', '0']"
210,0,0,"['87', '31', '-43', '-69', '0', '0', '0']"
211,0,0,"['95', '33', '-46', '-76', '0', '0', '0']"
212,0,0,"['93', '29', '-49', '-73', '0', '0', '0']"
213,0,0,"['93', '30', '-47', '-74', '0', '0', '0']"
214,0,0,"['90', '30', '-45', '-72', '0', '0', '0']"
215,0,0,"['88', '31', '-43', '-70', '0', '0', '0']"
